"oem","model","network_technology","network_2g_bands","network_�","network_3g_bands","network_4g_bands","network_speed","launch_announced","launch_status","body_dimensions","body_weight","body_build","body_sim","body_�","display_type","display_size","display_resolution","display_protection","display_�","platform_os","platform_chipset","platform_cpu","platform_gpu","memory_card_slot","memory_internal","memory_�","main_camera_single","main_camera_features","main_camera_video","selfie_camera_single","selfie_camera_features","selfie_camera_video","sound_loudspeaker","sound_3.5mm_jack","comms_wlan","comms_bluetooth","comms_gps","comms_nfc","comms_radio","comms_usb","features_sensors","features_�","battery_�","battery_charging","misc_colors","misc_models","misc_sar","misc_sar_eu","misc_price","tests_loudspeaker","main_camera_triple","selfie_camera_dual","battery_talk_time","battery_music_play","tests_performance","tests_display","tests_camera","tests_audio_quality","tests_battery_life","main_camera_dual","camera_�","battery_stand-by","network_gprs","network_edge","network_5g_bands","main_camera_quad","sound_�","main_camera_five","comms_infrared_port","selfie_camera_�","memory_phonebook","memory_call_records","features_messaging","features_games","features_java","main_camera_�","selfie_camera_triple"
"Apple","iPad Pro 12.9 (2017)","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900","CDMA2000 1xEV-DO","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 30, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","2017, June","Available. Released 2017, June","305.7 x 220.6 x 6.9 mm (12.04 x 8.69 x 0.27 in)","677 g (Wi-Fi) / 692 g (LTE) (1.49 lb)",,"Nano-SIM, eSIM","Stylus","IPS LCD capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm (~76.4% screen-to-body ratio)","2732 x 2048 pixels, 4:3 ratio (~265 ppi density)","Scratch-resistant glass, oleophobic coating","True-tone  120Hz touch-sensing","iOS 10.3.2, upgradable to iPadOS 13.4","Apple A10X Fusion (10 nm)",,,"No","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",,"12 MP, f/1.8, 1/3"", PDAF, OIS","Quad-LED dual-tone flash, HDR","2160p@30fps, 1080p@30/60fps, 1080p@120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)","Face detection, HDR, panorama","1080p@30fps","Yes, with stereo speakers (4 speakers)","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)","Yes","No","3.0, proprietary reversible connector; magnetic connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Ion 10,891 mAh battery (41 Wh)",,"Space Gray, Gold, Silver","A1670, A1671, A1821","1.19 W/kg (body)   �","0.97 W/kg (body)   �","About 900 EUR",,,,"Up to 10 h (multimedia)",,,,,,,,,,,,,,,,,,,,,,,,
"Apple","iPad Pro 10.5 (2017)","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900","CDMA2000 1xEV-DO","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 25, 26, 27, 28, 29, 30, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","2017, June","Available. Released 2017, June","250.6 x 174.1 x 6.1 mm (9.87 x 6.85 x 0.24 in)","469 g (Wi-Fi) / 477 g (LTE) (1.03 lb)","Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","Stylus","IPS LCD capacitive touchscreen, 16M colors","10.5 inches, 341.4 cm (~78.3% screen-to-body ratio)","1668 x 2224 pixels, 4:3 ratio (~265 ppi density)","Scratch-resistant glass, oleophobic coating","True-tone  120Hz refresh rate","iOS 10.3.2, upgradable to iPadOS 13.4","Apple A10X Fusion (10 nm)",,,"No","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM",,"12 MP, f/1.8, 1/3"", PDAF, OIS","Quad-LED dual-tone flash, HDR","2160p@30fps, 1080p@30/60fps, 1080p@120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)","Face detection, HDR, panorama","1080p@30fps","Yes, with stereo speakers (4 speakers)","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)","Yes","No","3.0, proprietary reversible connector; magnetic connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Ion 8134 mAh battery (30.8 Wh)",,"Space Gray, Rose Gold, Gold, Silver","A1701, A1709, A1852","1.19 W/kg (body)   �","0.93 W/kg (body)   �","About 730 EUR",,,,"Up to 10 h (multimedia)",,,,,,,,,,,,,,,,,,,,,,,,
"Apple","iPad 9.7 (2017)","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900","CDMA2000 1xEV-DO","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","2017, March","Available. Released 2017, March","240 x 169.5 x 7.5 mm (9.45 x 6.67 x 0.30 in)","469 g (Wi-Fi) / 478 g (LTE) (1.03 lb)","Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM",,"IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","Scratch-resistant glass, oleophobic coating",,"iOS 10.3, upgradable to iPadOS 13.4","Apple A9 (14 nm)","Dual-core 1.84 GHz (Twister)","PowerVR GT7600 (six-core graphics)","No","32GB 2GB RAM, 128GB 2GB RAM",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","HDR","1080p@30fps, 720p@120fps, HDR, stereo sound rec.","1.2 MP, f/2.2, 31mm (standard)","Face detection, HDR, panorama","720p@30fps","Yes, with stereo speakers","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)",,"No","2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Po 8827 mAh battery (32.9 Wh)",,"Silver, Gold, Space Gray","A1822, A1823","1.18 W/kg (body)   �","0.99 W/kg (body)   �","About 390 EUR",,,,"Up to 10 h (multimedia)",,,,,,,,,,,,,,,,,,,,,,,,
"Apple","Watch Edition Series 2 42mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","42.6 x 36.5 x 11.4 mm (1.68 x 1.44 x 0.45 in)","45.6 g body (1.62 oz)","Glass front (Sapphire crystal), ceramic back, ceramic frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm (~55.1% screen-to-body ratio)","390 x 312 pixels (~303 ppi density)","Sapphire crystal glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, LE","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 334 mAh battery (1.27 Wh)","Wireless charging","Sport Band/White","A1817",,,"About 1500 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 2 42mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in)","52.4 g body (1.83 oz)","Glass front (Sapphire crystal), ceramic/sapphire crystal back, stainless steel frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm (~55.4% screen-to-body ratio)","390 x 312 pixels (~303 ppi density)","Sapphire crystal glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, A2DP","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 334 mAh battery (1.27 Wh)","Wireless charging","Sport band: silver case/white, black case/black Leather band: silver case/blue, brown, orange Stainless Steel band: silver case/silver, black case/black","A1758",,,"About 700 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Edition Series 2 38mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","39.2 x 34 x 11.8 mm (1.54 x 1.34 x 0.46 in)","39.6 g body (1.41 oz)","Glass front (Sapphire crystal), ceramic back, ceramic frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm (~53.1% screen-to-body ratio)","340 x 272 pixels (~290 ppi density)","Sapphire crystal glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, LE","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 273 mAh battery (1.03 Wh)","Wireless charging","Sport Band/White","A1816",,,"About 1450 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 2 38mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in)","41.9 g body (1.48 oz)","Glass front (Sapphire crystal), ceramic/sapphire crystal back, stainless steel frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm (~55.1% screen-to-body ratio)","340 x 272 pixels (~290 ppi density)","Sapphire crystal glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, A2DP","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 273 mAh battery (1.03 Wh)","Wireless charging","Sport band: silver case/white, black case/blackLeather band: silver case/blue, brown, gray, red Stainless Steel band: silver case/silver, black case/black","A1757",,,"About 650 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 2 Aluminum 42mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","42.5 x 36.4 x 11.4 mm (1.67 x 1.43 x 0.45 in)","34.2 g body (1.20 oz)","Glass front, ceramic back, aluminum frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm (~55.4% screen-to-body ratio)","390 x 312 pixels (~303 ppi density)","Ion-X strengthened glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, A2DP","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 334 mAh battery (1.27 Wh)","Wireless charging","Case colors: silver, gold, rose gold, gray Band colors: gray, white, blue, brown, orange, black Band types: sport, woven nylon","A1758",,,"About 450 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 1 Aluminum 42mm","No cellular connectivity","N/A",,,,,"2016, September","Available. Released 2016, December","42.5 x 36.4 x 10.5 mm (1.67 x 1.43 x 0.41 in)","30 g body (1.06 oz)","Glass front, composite plastic back, aluminum frame","No","IPX7 water resistant up to 1 meter and 30 minutes","OLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm (~55.4% screen-to-body ratio)","390 x 312 pixels (~303 ppi density)","Ion-X strengthened glass","3D Touch display  450 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S1P (28 nm)","Dual-core 520 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, LE","No","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 250 mAh battery (0.94 Wh)","Wireless charging","Case colors: silver, gold, rose gold, gray Band colors: brown, white, black, blue Band types: sport","A1803",,,"About 300 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 2 Aluminum 38mm","No cellular connectivity","N/A",,,,,"2016, September. Released 2016, December","Discontinued","38.6 x 33.3 x 11.4 mm (1.52 x 1.31 x 0.45 in)","28.2 g body (0.99 oz)","Glass front, ceramic back, aluminum frame","No","50m water resistant","OLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm (~55.1% screen-to-body ratio)","340 x 272 pixels (~290 ppi density)","Ion-X strengthened glass","3D Touch display  1000 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S2 (16 nm)","Dual-core 780 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, A2DP","Yes, with GLONASS","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 273 mAh battery (1.03 Wh)","Wireless charging","Case colors: silver, gold, rose gold, gray Band colors: gray, white, blue, yellow, pink, black Band types: sport, woven nylon","A1757",,,"About 420 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","Watch Series 1 Aluminum 38mm","No cellular connectivity","N/A",,,,,"2016, September","Available. Released 2016, December","38.6 x 33.3 x 10.5 mm (1.52 x 1.31 x 0.41 in)","25 g body (0.88 oz)","Glass front, composite plastic back, aluminum frame","No","IPX7 water resistant up to 1 meter and 30 minutes","OLED capacitive touchscreen, 16M colors","1.5 inches, 7.1 cm (~55.1% screen-to-body ratio)","340 x 272 pixels (~290 ppi density)","Ion-X strengthened glass","3D Touch display  450 nits max brightness (advertised)","watchOS 3.0, upgradable to 6.2","Apple S1P (28 nm)","Dual-core 520 MHz Cortex-A7","PowerVR G6200","No","8GB 512MB RAM",,,,,,,,"Yes","No","Wi-Fi 802.11 b/g/n","4.0, LE","No","Yes","No","No","Accelerometer, gyro, heart rate","Natural language commands and dictation","Non-removable Li-Ion 205 mAh battery (0.78 Wh)","Wireless charging","Case colors: silver, gold, rose gold, gray Band colors: gray, white, black, pink Band types: sport","A1802",,,"About 270 EUR",,,,,,,,,,,,"No","Up to 18 h (mixed usage)","No","No",,,,,,,,,,,,,
"Apple","iPhone 7 Plus","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900 - A1661, A1784","CDMA2000 1xEV-DO & TD-SCDMA - A1661","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1661, A1784","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 27, 28, 29, 30, 38, 39, 40, 41 - A1661, A1784","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","2016, September 07","Available. Released 2016, September 16","158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in)","188 g (6.63 oz)","Glass front (Gorilla Glass), aluminum back, aluminum frame","Nano-SIM","IP67 dust/water resistant (up to 1m for 30 mins)  Apple Pay (Visa, MasterCard, AMEX certified)","Retina IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~67.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Ion-strengthened glass, oleophobic coating","625 nits max brightness (advertised)  Wide color gamut  3D Touch display & home button","iOS 10.0.1, upgradable to iOS 13.4","Apple A10 Fusion (16 nm)","Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr)","PowerVR Series7XT Plus (six-core graphics)","No","32GB 3GB RAM, 128GB 3GB RAM, 256GB 3GB RAM","NVMe",,"Quad-LED dual-tone flash, HDR","2160p@30fps, 1080p@30/60/120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)","Face detection, HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS","Yes","No","2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Ion 2900 mAh battery (11.1 Wh)",,"Jet Black, Black, Silver, Gold, Rose Gold, Red","A1661, A1784, A1785, A1786","1.19 W/kg (head)     1.19 W/kg (body)   �","1.24 W/kg (head)     1.00 W/kg (body)   �","$ 229.78 / € 284.00 / £ 289.00 / ₹ 36,999","Voice 68dB / Noise 72dB / Ring 72dB",,,"Up to 21 h (3G)","Up to 60 h","Basemark OS II 2.0: 3796","Contrast ratio: 1398:1 (nominal), 3.588 (sunlight)","Photo / Video","Noise -93.1dB / Crosstalk -80.5dB","Endurance rating 75h","12 MP, f/1.8, 28mm (wide), 1/3"", PDAF, OIS  12 MP, f/2.8, 56mm (telephoto), 1/3.6"", AF, 2x optical zoom",,"Up to 384 h (3G)",,,,,,,,,,,,,,,
"Apple","iPhone 7","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900 - A1660, A1778","CDMA2000 1xEV-DO & TD-SCDMA - A1660","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1660, A1778","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 27, 28, 29, 30, 38, 39, 40, 41 - A1660, A1778","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","2016, September 07","Available. Released 2016, September 16","138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)","138 g (4.87 oz)","Glass front (Gorilla Glass), aluminum back, aluminum frame","Nano-SIM","IP67 dust/water resistant (up to 1m for 30 mins)  Apple Pay (Visa, MasterCard, AMEX certified)","Retina IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","Ion-strengthened glass, oleophobic coating","625 nits max brightness (advertised)  Wide color gamut  3D Touch display & home button","iOS 10.0.1, upgradable to iOS 13.4","Apple A10 Fusion (16 nm)","Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr)","PowerVR Series7XT Plus (six-core graphics)","No","32GB 2GB RAM, 128GB 2GB RAM, 256GB 2GB RAM","NVMe","12 MP, f/1.8, 28mm (wide), 1/3"", PDAF, OIS","Quad-LED dual-tone flash, HDR","2160p@30fps, 1080p@30/60/120fps, 720p@240fps","7 MP, f/2.2, 32mm (standard)","Face detection, HDR, panorama","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS","Yes","No","2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Ion 1960 mAh battery (7.45 Wh)",,"Jet Black, Black, Silver, Gold, Rose Gold, Red","A1660, A1778, A1779, A1780, A1853, A1866","1.19 W/kg (head)     1.19 W/kg (body)   �","1.38 W/kg (head)     1.34 W/kg (body)   �","$ 148.00 / € 189.11 / £ 190.00 / ₹ 29,499","Voice 67dB / Noise 73dB / Ring 75dB",,,"Up to 14 h (3G)","Up to 40 h","Basemark OS II 2.0: 3416","Contrast ratio: 1603:1 (nominal), 3.964 (sunlight)","Photo / Video","Noise -92.4dB / Crosstalk -80.9dB","Endurance rating 61h",,,,,,,,,,,,,,,,,,
"Apple","iPad Pro 9.7 (2016)","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900","CDMA2000 1xEV-DO","HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 27, 28, 29, 30, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","2016, March","Available. Released 2016, March","240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in)","437 g (Wi-Fi) / 444 g (LTE) (15.41 oz)","Glass front, aluminum back, aluminum frame","Nano-SIM, eSIM","Stylus","IPS LCD capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","Scratch-resistant glass, oleophobic coating","True-tone  120Hz touch-sensing","iOS 9.3.2, upgradable to iPadOS 13.4","Apple A9X (16 nm)","Dual-core 2.16 GHz (Twister)","PowerVR Series 7 (12-core graphics)","No","32GB 2GB RAM, 128GB 2GB RAM, 256GB 2GB RAM",,"12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","Dual-LED dual-tone flash, HDR","2160p@30fps, 1080p@30/60fps, 1080p@120fps, 720p@240fps","5 MP, f/2.2, 31mm (standard)","Face detection, HDR, panorama","1080p@30fps","Yes, with stereo speakers (4 speakers)","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, EDR","Yes, with A-GPS, GLONASS (Wi‑Fi + Cellular model only)","Yes","No","2.0, proprietary reversible connector; magnetic connector","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer","Siri natural language commands and dictation","Non-removable Li-Ion 7306 mAh battery (27.9 Wh)",,"Silver, Gold, Space Gray, Rose Gold","A1673, A1674, A1675","1.19 W/kg (body)   �","0.99 W/kg (body)   �","About 690 EUR",,,,"Up to 10 h (multimedia)",,,,,,,,,,,,,,,,,,,,,,,,
"Google","Pixel 4 XL","GSM / CDMA / HSPA / EVDO / LTE","GSM 850 / 900 / 1800 / 1900","1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - USA","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps","2019, October 15","Available. Released 2019, October 22","160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in)","193 g (6.81 oz)","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame","Nano-SIM card & eSIM","IP68 dust/water resistant (up to 1.5m for 30 mins)","P-OLED capacitive touchscreen, 16M colors","6.3 inches, 98.0 cm (~81.3% screen-to-body ratio)","1440 x 3040 pixels, 19:9 ratio (~537 ppi density)","Corning Gorilla Glass 5","HDR  Always-on display  90Hz refresh rate","Android 10","Qualcomm SM8150 Snapdragon 855 (7 nm)","Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)","Adreno 640","No","64GB 6GB RAM, 128GB 6GB RAM","UFS 2.1",,"Dual-LED flash, Auto-HDR, panorama","2160p@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)",,"Auto-HDR","1080p@30fps","Yes, with stereo speakers","No","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","5.0, A2DP, LE, aptX HD","Yes, with A-GPS, GLONASS, BDS, GALILEO","Yes","No","3.1, Type-C 1.0 reversible connector","Face ID, accelerometer, gyro, proximity, compass, barometer",,"Non-removable Li-Po 3700 mAh battery","Fast charging 18W  USB Power Delivery 2.0  QI wireless charging","Clearly White, Just Black, Oh So Orange","G020P, G020, GA01181-US, GA01182-US, GA01180-US",,,"$ 479.99 / € 619.00 / £ 679.00","Voice 80dB / Noise 78dB / Ring 88dB",,"8 MP, f/2.0, 22mm (wide), 1.22µm, no AF  TOF 3D, (depth/biometrics sensor)",,,"AnTuTu: 323305 (v7), 403267 (v8) GeekBench: 10171 (v4.4), 2267 (v5.1) GFXBench: 21fps (ES 3.1 onscreen)",,"Photo / Video","Noise -93.9 / Crosstalk -94.1","Endurance rating 73h","12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS  16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom",,,,,,,,,,,,,,,,,
